Name,Stock_type,Mileage,Primary_price,Website_link,Dealer_name,Distance_from
2022 Mercedes-Benz AMG E 53 Base 4MATIC,Used,"8,353 mi.","$68,500",https://www.cars.com/vehicledetail/2515d7ee-cada-45ba-b03d-f09f83691d56/,Land Rover Rockland,22 mi. from 02466
2015 Cadillac CTS 2.0L Turbo Luxury,Used,"92,514 mi.","$16,997",https://www.cars.com/vehicledetail/0fde764e-7385-4a0d-bfa1-52f536e2613e/,Alliance Motor Group,22 mi. from 02466
2007 Ford Focus ZX4,Used,"105,117 mi.","$5,995",https://www.cars.com/vehicledetail/5a7281a6-5a73-4ba7-8352-e6b7a2f3b1a6/,Auto Country,23 mi. from 02466
2012 Honda Civic LX,Used,"130,257 mi.","$9,995",https://www.cars.com/vehicledetail/f8501b04-c5b6-499c-8af6-1972df0a263c/,Auto Country,23 mi. from 02466
2007 Lexus ES 350 Base,Used,"108,436 mi.","$11,495",https://www.cars.com/vehicledetail/680c24c0-cc2f-4bac-8a8a-e52c1a0b40f3/,Deals on Wheels Auto Sales,23 mi. from 02466
2020 Lincoln MKZ Reserve,Used,"35,170 mi.","$29,477",https://www.cars.com/vehicledetail/02f2dc5a-abf9-47e4-83e5-9eef350a689d/,Imperial Ford,24 mi. from 02466
2023 BMW 540 i xDrive,BMW Certified,"18,039 mi.","$58,625",https://www.cars.com/vehicledetail/025d35c7-fd34-4b0f-81d3-a396c64f2aec/,BMW of Shrewsbury,24 mi. from 02466
2021 Cadillac CT4 Premium Luxury,Used,"27,866 mi.","$27,977",https://www.cars.com/vehicledetail/92310607-b3dd-476f-9cab-abedf949fd24/,Imperial Chevrolet,24 mi. from 02466
2013 Toyota Camry LE,Used,"120,105 mi.","$10,995",https://www.cars.com/vehicledetail/e1494944-acc6-43b3-9325-f45db47447cc/,South Easton Motor Sales,25 mi. from 02466
2014 Mitsubishi Lancer GT,Used,"79,000 mi.","$9,995",https://www.cars.com/vehicledetail/ac51f67d-2819-4128-a801-889382a3c911/,Topsfield Motor Co.,26 mi. from 02466
2023 Toyota Camry Hybrid XLE,Used,"8,158 mi.","$32,900",https://www.cars.com/vehicledetail/f47280f5-221f-4e60-8fb2-c1ffedf8d5e1/,Tasca Buick GMC Woonsocket,28 mi. from 02466
2019 Ford Mustang GT,Used,"23,205 mi.","$33,000",https://www.cars.com/vehicledetail/b1523410-10d0-44f2-a0fe-a0691fe5bda5/?attribution_type=premier,AutoMax Preowned Framingham,mi. from 02466
2020 Lexus IS 300 ,Used,"34,445 mi.","$33,996",https://www.cars.com/vehicledetail/3b5ae937-649a-4340-a44b-fea282a589ef/,Lexus of Watertown,5 mi. from 02466
2020 Lexus IS 300 IS 300 F SPORT,Used,"24,750 mi.","$33,778",https://www.cars.com/vehicledetail/8630a914-2b29-4a56-a63b-83447d28d417/,Lexus of Watertown,5 mi. from 02466
2020 Kia Cadenza Technology,Kia Certified,"25,233 mi.","$31,490",https://www.cars.com/vehicledetail/6a15a27a-5f84-4195-b99e-e10c8a0dee1c/,LEV KIA of Framingham,8 mi. from 02466
2021 BMW 540 i xDrive,Used,"36,292 mi.","$44,488",https://www.cars.com/vehicledetail/a18ebe5e-b19d-4b63-8786-4d830b2e6714/,Audi Westwood,9 mi. from 02466
2023 BMW M3 Competition xDrive,Used,"11,319 mi.","$90,987",https://www.cars.com/vehicledetail/448ec6bc-c1b8-4ea9-9910-048d7c368d81/,BMW of Norwood,12 mi. from 02466
2019 Mercedes-Benz A-Class A 220 4MATIC,Used,"26,682 mi.","$27,001",https://www.cars.com/vehicledetail/c82ddb3c-9bcf-4625-85e1-d2c0449d1fef/,AutoMax Preowned Marlborough,16 mi. from 02466
2017 Mercedes-Benz AMG E 43 4MATIC,Used,"33,024 mi.","$43,500",https://www.cars.com/vehicledetail/17b0cdb9-f0bc-4257-ab49-808ef8fe5fe5/,SR AUTO GROUP,16 mi. from 02466
2020 Audi A6 55 Premium Plus,Used,"43,357 mi.","$34,000",https://www.cars.com/vehicledetail/d7a2287f-2bd3-4e42-81c1-33a52562789d/,AutoMax Preowned Marlborough,16 mi. from 02466
2016 Mercedes-Benz CLA-Class CLA 250 4MATIC,Used,"44,680 mi.","$18,975",https://www.cars.com/vehicledetail/0ff8d904-02f0-47a2-a953-1fae0e8732ca/,Imotobank,16 mi. from 02466
2017 Nissan Sentra SR Turbo,Used,"48,114 mi.","$15,432",https://www.cars.com/vehicledetail/dd0fc7c1-b9f1-46c1-b830-5459660be42d/,Colonial Volkswagen,19 mi. from 02466
2021 Dodge Charger Scat Pack,Used,"8,207 mi.","$48,997",https://www.cars.com/vehicledetail/ccf25ef4-03ae-4fec-9946-81255818c6b0/,Planet Chrysler Jeep Dodge RAM,20 mi. from 02466
2023 Audi S6 2.9T quattro Premium,Used,"15,540 mi.","$73,700",https://www.cars.com/vehicledetail/be11841c-5eda-4ca8-9b4b-808a73adb1b1/,Audi Peabody,21 mi. from 02466
2022 Lexus LS 500h ,Used,"4,664 mi.","$81,588",https://www.cars.com/vehicledetail/dce2cb21-eb79-4ef8-b480-7feb6d186f57/,Ira Lexus,21 mi. from 02466
2017 Subaru WRX Limited,Used,"47,069 mi.","$25,990",https://www.cars.com/vehicledetail/7c4cb994-e4c0-45e6-b9cf-8fb8e07ccd45/,Route 110 Auto Sales,22 mi. from 02466
2016 Nissan Altima 2.5 SL,Used,"60,830 mi.","$16,262",https://www.cars.com/vehicledetail/b3763f35-9b39-42b5-878f-1f7e079e50d7/,Midway Automotive,23 mi. from 02466
2022 Volkswagen Arteon 2.0T SEL R-Line,Used,"15,368 mi.","$35,530",https://www.cars.com/vehicledetail/10ed66df-d102-4066-a79d-4e8ae3d0ed6e/,Silko Volkswagen,23 mi. from 02466
2019 BMW 530e xDrive iPerformance,Used,"49,700 mi.","$29,495",https://www.cars.com/vehicledetail/de41bee8-55a9-4bc5-9fb4-edf17f282f46/,Foley Motorsports,23 mi. from 02466
2018 Mercedes-Benz AMG E 43 Base 4MATIC,Used,"60,394 mi.","$39,299",https://www.cars.com/vehicledetail/35bf39a8-e775-4cf0-8575-9c17d772020d/,Autocenter Sales & Service,25 mi. from 02466
2018 Hyundai Sonata Hybrid SE,Used,"103,756 mi.","$13,998",https://www.cars.com/vehicledetail/61ff0704-c9a6-444e-a681-67f70a8daaef/,Metro West Auto Sales,27 mi. from 02466
2022 Kia Stinger GT-Line,Used,"2,029 mi.","$39,999",https://www.cars.com/vehicledetail/c5d97916-a77b-4bc0-a83c-ea6ff098c050/,Anchor Auto Group - Subaru Nissan,30 mi. from 02466
